Time (sec),Pedal Position(%) wped_w,Engine Speed(RPM) nmot_w,Vehicle Speed(KMH) vfzg_w,Actual Boost Pressure(mBar) pvdkds_w,Desired Boost Pressure(mBar) plsol_w,Lambda Actual Value(Lambda) lamsoni_w,Lambda Target Value(Lambda) lamsons_w,Lambda BTS Value(Lambda) lambts_w,Lambda LAMFAW Value(Lambda) lamfa_w,Actual Load(%) rl_w,Requested Load(%) rlsol_w,Max Load(%) rlmax_w,Ignition Angle Output(Deg BTDC) zwout,Actual Ignition Angle(Deg BTDC) zwist,Mass Air Flow(kg/h) mshfm_w,Lambda Control (Fuel Trim)(%) fr_w,Throttle Angle(%) wdkba,Intake Air Temperature(Deg C) tans,Average Knock Retard(Deg BTDC) wkrma,Cylinder 1 Knock Retard(Deg BTDC) dwkrz_0,Cylinder 2 Knock Retard(Deg BTDC) dwkrz_1,Cylinder 3 Knock Retard(Deg BTDC) dwkrz_2,Cylinder 4 Knock Retard(Deg BTDC) dwkrz_3,
14.200,20.2164,1634.5,35.4,1017.3,1051.8,0.9956,1.0000,1.0000,1.0000,46.41,48.56,155.34,30.75,30.00,85.30,1.0194,15.3,15.75,0.00,0.00,0.00,0.00,0.00,
14.300,20.2164,1624.5,35.4,1023.8,1051.3,0.9724,1.0000,1.0000,1.0000,47.72,48.66,154.90,30.75,30.00,84.30,1.0171,15.7,15.75,0.00,0.00,0.00,0.00,0.00,
14.300,20.2164,1639.8,35.5,1027.0,1040.5,0.9512,1.0000,1.0000,1.0000,48.87,48.00,155.48,30.00,29.25,83.20,1.0115,15.7,15.75,0.00,0.00,0.00,0.00,0.00,
14.400,20.2164,1634.3,35.5,1033.4,1051.2,0.9399,1.0000,1.0000,1.0000,49.31,48.40,154.52,30.00,29.25,79.50,0.9737,15.7,15.75,0.00,0.00,0.00,0.00,0.00,
14.500,20.2164,1639.5,35.5,1036.6,1042.4,0.9365,1.0000,1.0000,1.0000,49.01,47.95,155.18,30.00,29.25,78.00,0.9665,14.9,15.75,0.00,0.00,0.00,0.00,0.00,
14.600,20.2164,1643.3,35.6,1039.8,1044.6,0.9412,1.0000,1.0000,1.0000,48.91,48.09,155.70,30.75,30.00,79.70,0.9578,14.9,15.75,0.00,0.00,0.00,0.00,0.00,
14.600,20.2164,1641.3,35.7,1046.3,1044.5,0.9524,1.0000,1.0000,1.0000,48.45,48.23,155.41,30.00,29.25,78.70,0.9518,14.5,15.75,0.00,0.00,0.00,0.00,0.00,
14.700,20.2164,1653.8,35.7,1049.5,1033.7,0.9673,1.0000,1.0000,1.0000,49.01,47.55,156.61,30.75,30.00,82.30,0.9447,14.5,15.75,0.00,0.00,0.00,0.00,0.00,
14.800,20.2164,1644.3,35.8,1052.7,1041.6,0.9761,1.0000,1.0000,1.0000,48.96,48.00,155.06,30.75,30.00,79.90,0.9706,14.5,15.75,0.00,0.00,0.00,0.00,0.00,
14.900,19.7831,1660.0,35.8,1059.1,1013.4,0.9724,1.0000,1.0000,1.0000,49.05,45.84,155.72,30.75,30.00,82.80,0.9673,14.1,15.75,0.00,0.00,0.00,0.00,0.00,
14.900,19.7831,1651.8,35.9,1062.3,1022.7,0.9685,1.0000,1.0000,1.0000,48.21,46.48,155.11,30.75,30.00,74.80,0.9637,12.9,15.75,0.00,0.00,0.00,0.00,0.00,
15.000,20.2164,1660.8,36.0,1065.6,1039.9,0.9685,1.0000,1.0000,1.0000,47.41,47.55,156.42,31.50,30.75,74.70,0.9623,12.9,15.75,0.00,0.00,0.00,0.00,0.00,
15.100,20.2164,1663.0,36.1,1068.8,1032.3,0.9685,1.0000,1.0000,1.0000,47.20,47.55,155.65,31.50,30.75,77.60,0.9302,13.3,15.75,0.00,0.00,0.00,0.00,0.00,
15.200,21.0863,1660.3,36.1,1068.8,1086.2,0.9685,1.0000,1.0000,1.0000,48.09,50.95,155.91,31.50,30.75,81.40,0.9291,13.7,15.75,0.00,0.00,0.00,0.00,0.00,
15.200,23.2623,1674.3,36.2,1065.6,1186.4,0.9761,1.0000,1.0000,1.0000,49.48,60.66,155.98,30.75,30.00,93.40,0.9285,22.0,15.75,0.00,0.00,0.00,0.00,0.00,
15.300,23.6957,1680.8,36.3,1059.1,1194.8,0.9971,1.0000,1.0000,1.0000,60.38,62.16,157.05,28.50,27.75,123.20,1.0011,29.8,15.75,0.00,0.00,0.00,0.00,0.00,
15.400,23.6957,1701.5,36.3,1068.8,1149.4,1.0051,1.0000,1.0000,1.0000,66.75,62.44,163.27,27.75,27.00,118.80,1.0009,29.4,15.75,0.00,0.00,0.00,0.00,0.00,
15.500,23.2623,1675.0,36.5,1078.4,1168.0,0.9412,1.0000,1.0000,1.0000,67.50,63.33,156.00,27.00,26.25,111.00,1.0011,29.0,15.75,0.00,0.00,0.00,0.00,0.00,
15.500,23.2623,1709.0,36.6,1088.1,1120.1,0.9180,1.0000,1.0000,1.0000,66.63,58.27,156.07,27.00,26.25,115.40,1.0061,27.1,15.75,0.00,0.00,0.00,0.00,0.00,
15.600,23.2623,1694.8,36.7,1097.7,1140.7,0.8994,1.0000,1.0000,1.0000,66.00,59.63,156.56,27.75,27.00,105.50,0.9897,22.0,15.75,0.00,0.00,0.00,0.00,0.00,
15.700,23.2623,1716.0,36.9,1104.2,1128.2,0.8918,1.0000,1.0000,1.0000,64.80,58.92,156.84,27.75,27.00,110.30,0.9718,21.6,15.75,0.00,0.00,0.00,0.00,0.00,
15.800,23.2623,1718.0,37.1,1113.8,1130.1,0.9026,1.0000,1.0000,1.0000,63.61,58.73,156.61,27.75,27.00,103.80,0.9304,19.2,15.75,0.00,0.00,0.00,0.00,0.00,
15.800,23.2623,1729.0,37.2,1123.5,1139.7,0.9246,1.0000,1.0000,1.0000,61.73,57.96,154.48,28.50,27.75,100.50,0.9174,18.4,15.75,0.00,0.00,0.00,0.00,0.00,
15.900,23.6957,1734.5,37.4,1126.7,1135.1,0.9448,1.0000,1.0000,1.0000,60.35,59.06,159.82,28.50,27.75,97.50,0.9084,17.6,15.75,0.00,0.00,0.00,0.00,0.00,
16.000,23.6957,1741.8,37.6,1129.9,1153.7,0.9712,1.0000,1.0000,1.0000,59.23,59.95,155.39,28.50,27.75,103.40,0.9034,18.4,15.75,0.00,0.00,0.00,0.00,0.00,
16.100,24.5655,1752.3,37.7,1129.9,1175.4,0.9900,1.0000,1.0000,1.0000,62.16,63.38,160.20,28.50,27.75,113.20,0.9256,20.8,15.75,0.00,0.00,0.00,0.00,0.00,
16.100,24.5655,1763.5,37.9,1129.9,1184.7,1.0149,1.0000,1.0000,1.0000,65.06,64.22,158.30,28.50,27.75,123.70,0.9270,23.1,15.75,0.00,0.00,0.00,0.00,0.00,
16.200,25.0020,1763.0,38.0,1133.1,1197.3,1.0359,1.0000,1.0000,1.0000,66.94,65.77,158.32,27.75,27.00,118.20,0.9319,22.7,15.75,0.00,0.00,0.00,0.00,0.00,
16.300,25.0020,1777.3,38.2,1139.6,1187.0,1.0200,1.0000,1.0000,1.0000,67.73,65.27,158.46,27.75,27.00,122.40,0.9386,23.1,15.75,0.00,0.00,0.00,0.00,0.00,
16.400,25.0020,1772.3,38.4,1146.0,1189.4,0.9941,1.0000,1.0000,1.0000,68.18,65.41,158.16,27.75,27.00,117.30,0.9458,22.4,15.75,0.00,0.00,0.00,0.00,0.00,
16.400,24.5655,1796.8,38.5,1155.6,1163.6,0.9900,1.0000,1.0000,1.0000,67.52,63.07,158.58,27.75,27.00,117.90,0.9243,20.4,15.75,0.00,0.00,0.00,0.00,0.00,
16.500,24.5655,1784.5,38.7,1165.3,1166.2,0.9873,1.0000,1.0000,1.0000,64.48,63.16,158.25,28.50,27.75,106.70,0.9249,17.6,15.75,0.00,0.00,0.00,0.00,0.00,
16.600,24.5655,1807.8,38.9,1168.5,1159.7,0.9661,1.0000,1.0000,1.0000,62.46,62.72,159.05,28.50,27.75,109.50,0.9204,17.6,15.75,0.00,0.00,0.00,0.00,0.00,
16.700,24.5655,1801.3,39.0,1171.7,1169.4,0.9749,1.0000,1.0000,1.0000,61.48,63.30,158.55,29.25,28.50,108.60,0.9128,17.6,15.75,0.00,0.00,0.00,0.00,0.00,
16.800,24.1322,1825.5,39.2,1171.7,1138.9,1.0000,1.0000,1.0000,1.0000,60.84,60.84,160.08,29.25,28.50,106.70,0.9337,17.3,15.75,0.00,0.00,0.00,0.00,0.00,
16.800,24.1322,1819.0,39.4,1175.0,1147.6,1.0215,1.0000,1.0000,1.0000,59.84,61.41,159.49,29.25,28.50,100.10,0.9358,16.9,15.75,0.00,0.00,0.00,0.00,0.00,
16.900,23.6957,1830.3,39.5,1175.0,1118.4,1.0149,1.0000,1.0000,1.0000,59.09,58.78,159.66,29.25,28.50,106.50,0.9397,16.5,15.75,0.00,0.00,0.00,0.00,0.00,
17.000,23.6957,1831.5,39.6,1175.0,1120.7,1.0100,1.0000,1.0000,1.0000,57.96,58.97,160.48,30.00,29.25,98.20,0.9440,15.7,15.75,0.00,0.00,0.00,0.00,0.00,
17.000,23.6957,1841.5,39.7,1175.0,1122.1,1.0039,1.0000,1.0000,1.0000,56.88,58.85,159.45,30.00,29.25,99.30,0.9488,16.1,15.75,0.00,0.00,0.00,0.00,0.00,
17.100,23.6957,1852.0,39.9,1171.7,1124.6,0.9985,1.0000,1.0000,1.0000,57.49,58.95,160.41,30.00,29.25,102.30,0.9272,16.5,15.75,0.00,0.00,0.00,0.00,0.00,
17.200,21.9561,1845.0,40.0,1171.7,1024.7,1.0088,1.0000,1.0000,1.0000,57.42,51.21,159.68,30.00,29.25,103.60,0.9294,15.3,15.75,0.00,0.00,0.00,0.00,0.00,
17.300,21.0863,1862.0,40.1,1175.0,1008.2,1.0132,1.0000,1.0000,1.0000,53.93,47.55,158.11,30.75,30.00,83.60,0.9320,11.8,15.75,0.00,0.00,0.00,0.00,0.00,
17.300,21.0863,1843.0,40.2,1175.0,1002.3,1.0000,1.0000,1.0000,1.0000,49.24,47.41,160.10,32.25,31.50,80.70,1.0002,11.8,15.75,0.00,0.00,0.00,0.00,0.00,
17.400,21.0863,1870.8,40.3,1171.7,1002.0,0.9861,1.0000,1.0000,1.0000,46.73,47.41,160.92,33.00,32.25,76.10,1.0009,11.8,15.75,0.00,0.00,0.00,0.00,0.00,
17.500,21.0863,1866.0,40.4,1162.1,1005.9,0.9836,1.0000,1.0000,1.0000,44.95,47.77,160.69,33.00,32.25,70.40,1.0000,12.2,15.75,0.00,0.00,0.00,0.00,0.00,
17.600,21.0863,1870.3,40.5,1152.4,1003.5,0.9785,1.0000,1.0000,1.0000,45.49,47.63,160.17,33.00,32.25,81.30,1.0000,12.5,15.75,0.00,0.00,0.00,0.00,0.00,
17.600,21.5227,1873.5,40.6,1142.8,1025.1,0.9812,1.0000,1.0000,1.0000,46.52,49.41,161.06,33.00,32.25,86.30,1.0120,13.7,15.75,0.00,0.00,0.00,0.00,0.00,
17.700,21.9561,1880.5,40.7,1139.6,1041.7,0.9849,1.0000,1.0000,1.0000,48.26,50.86,161.02,33.00,32.25,91.30,1.0110,13.7,15.75,0.00,0.00,0.00,0.00,0.00,
17.800,20.6529,1884.0,40.8,1136.3,1002.0,0.9812,1.0000,1.0000,1.0000,49.22,45.75,161.84,33.00,32.25,95.80,0.9834,14.1,15.75,0.00,0.00,0.00,0.00,0.00,
17.900,25.0020,1884.5,40.8,1142.8,1239.2,0.9749,1.0000,1.0000,1.0000,48.45,65.02,160.92,32.25,31.50,80.00,0.9824,12.5,15.75,0.00,0.00,0.00,0.00,0.00,
17.900,23.6957,1897.0,40.9,1107.4,1119.6,0.9736,1.0000,1.0000,1.0000,57.49,58.95,161.46,31.50,30.75,176.30,0.9822,28.2,15.75,0.00,0.00,0.00,0.00,0.00,
18.000,26.0885,1922.0,41.1,1129.9,1240.9,0.9912,1.0000,1.0000,1.0000,63.70,68.44,163.34,29.25,28.50,119.60,1.0011,22.0,15.75,0.00,0.00,0.00,0.00,0.00,
18.100,26.0885,1898.3,41.2,1133.1,1251.3,0.9624,1.0000,1.0000,1.0000,66.63,71.18,158.51,29.25,28.50,138.80,1.0076,26.3,15.75,0.00,0.00,0.00,0.00,0.00,
18.200,26.0885,1935.5,41.4,1142.8,1223.6,0.9387,1.0000,1.0000,1.0000,69.61,69.05,163.27,28.50,27.75,137.20,0.9960,28.6,15.75,0.00,0.00,0.00,0.00,0.00,
18.300,25.2187,1927.8,41.6,1149.2,1159.9,0.9277,1.0000,1.0000,1.0000,72.45,66.16,163.69,27.75,27.00,146.70,1.0006,28.6,15.00,0.00,0.00,0.00,0.00,0.00,
18.300,23.4790,1953.0,41.8,1165.3,1060.1,0.9424,1.0000,1.0000,1.0000,71.91,57.63,161.65,27.75,27.00,135.30,1.0080,23.5,15.00,0.00,0.00,0.00,0.00,0.00,
18.400,21.0863,1949.0,42.1,1187.8,1002.0,0.9246,1.0000,1.0000,1.0000,65.37,46.92,162.80,28.50,27.75,96.80,0.9960,12.5,15.00,0.00,0.00,0.00,0.00,0.00,
18.500,21.0863,1944.3,42.3,1200.7,1002.0,0.8994,1.0000,1.0000,1.0000,53.11,46.99,161.39,32.25,31.50,69.10,1.0000,10.6,15.00,0.00,0.00,0.00,0.00,0.00,
18.600,21.0863,1969.8,42.5,1184.6,1002.0,0.8640,1.0000,1.0000,1.0000,43.36,46.57,160.69,35.25,34.50,72.10,1.0000,11.0,15.00,0.00,0.00,0.00,0.00,0.00,
18.600,19.3466,1965.5,42.6,1175.0,1001.9,0.9048,1.0000,1.0000,1.0000,43.01,40.90,163.24,35.25,34.50,78.00,1.0000,11.8,15.00,0.00,0.00,0.00,0.00,0.00,
18.700,18.9132,1983.8,42.8,1165.3,1001.9,0.9600,1.0000,1.0000,1.0000,43.08,39.26,164.13,35.25,34.50,74.90,1.0000,9.8,15.00,0.00,0.00,0.00,0.00,0.00,
18.800,19.3466,1970.5,42.9,1155.6,1001.9,0.9900,1.0000,1.0000,1.0000,38.86,41.04,163.55,35.25,34.50,70.60,1.0000,11.4,15.00,0.00,0.00,0.00,0.00,0.00,
18.900,19.7831,1986.0,42.9,1142.8,1001.9,0.9812,1.0000,1.0000,1.0000,41.20,41.74,164.16,35.25,34.50,80.50,1.0088,11.8,15.00,0.00,0.00,0.00,0.00,0.00,
18.900,19.7831,1983.5,43.0,1139.6,1001.9,1.0039,1.0000,1.0000,1.0000,41.58,42.05,163.69,35.25,34.50,78.10,1.0105,11.0,15.00,0.00,0.00,0.00,0.00,0.00,
19.000,18.9132,1983.0,43.1,1133.1,1001.9,1.0115,1.0000,1.0000,1.0000,40.92,39.26,163.38,35.25,34.50,77.10,1.0118,11.4,15.00,0.00,0.00,0.00,0.00,0.00,
19.100,18.0434,1992.0,43.1,1126.7,1001.9,0.9885,1.0000,1.0000,1.0000,40.90,36.42,164.37,35.25,34.50,77.00,1.0151,11.0,15.00,0.00,0.00,0.00,0.00,0.00,
19.200,18.0434,1990.3,43.2,1126.7,1001.9,0.9800,1.0000,1.0000,1.0000,39.52,36.56,164.27,35.25,34.50,66.50,0.9850,9.8,15.00,0.00,0.00,0.00,0.00,0.00,
19.200,18.0434,1993.8,43.3,1120.3,1001.8,0.9685,1.0000,1.0000,1.0000,37.20,36.59,164.04,35.25,34.50,67.10,0.9818,9.8,15.00,0.00,0.00,0.00,0.00,0.00,
19.300,18.0434,1996.3,43.4,1110.6,1001.8,0.9612,1.0000,1.0000,1.0000,36.02,36.59,164.48,36.00,35.25,64.70,0.9751,9.8,15.00,0.00,0.00,0.00,0.00,0.00,
19.400,18.0434,1998.5,43.4,1104.2,1001.8,0.9700,1.0000,1.0000,1.0000,35.58,36.56,164.02,36.00,35.25,66.00,0.9680,10.2,15.00,0.00,0.00,0.00,0.00,0.00,
19.500,18.0434,2001.5,43.5,1100.9,1001.8,0.9824,1.0000,1.0000,1.0000,35.79,36.52,164.04,36.75,36.00,71.70,0.9938,10.2,15.00,0.00,0.00,0.00,0.00,0.00,
19.500,18.0434,2001.5,43.5,1097.7,1001.8,1.0063,1.0000,1.0000,1.0000,36.35,36.40,164.30,36.00,35.25,70.70,0.9941,10.6,15.00,0.00,0.00,0.00,0.00,0.00,
19.600,18.4768,2002.0,43.5,1091.3,1001.8,1.0132,1.0000,1.0000,1.0000,37.08,37.76,164.41,36.00,35.25,74.20,0.9963,10.6,15.00,0.00,0.00,0.00,0.00,0.00,
19.700,17.6100,2002.8,43.6,1088.1,1001.8,1.0132,1.0000,1.0000,1.0000,36.87,35.11,164.27,35.25,34.50,71.00,1.0016,10.6,15.00,0.00,0.00,0.00,0.00,0.00,
19.800,19.1299,2011.8,43.6,1088.1,1001.8,1.0088,1.0000,1.0000,1.0000,36.96,39.77,164.32,36.00,35.25,72.40,1.0064,10.6,15.00,0.00,0.00,0.00,0.00,0.00,
19.800,19.1299,2006.5,43.6,1084.9,1001.8,1.0039,1.0000,1.0000,1.0000,37.36,39.77,164.11,36.00,35.25,78.00,0.9793,11.4,15.00,0.00,0.00,0.00,0.00,0.00,
19.900,19.1299,2014.8,43.7,1078.4,1001.8,1.0000,1.0000,1.0000,1.0000,38.98,39.61,164.34,36.00,35.25,80.70,0.9818,11.4,15.00,0.00,0.00,0.00,0.00,0.00,
20.000,19.1299,2012.5,43.7,1078.4,1001.8,1.0051,1.0000,1.0000,1.0000,39.68,39.66,164.46,36.00,35.25,78.70,0.9833,11.8,15.00,0.00,0.00,0.00,0.00,0.00,
20.100,19.1299,2021.0,43.8,1078.4,1001.8,1.0088,1.0000,1.0000,1.0000,39.82,39.59,164.20,36.00,35.25,76.80,0.9841,11.8,15.00,0.00,0.00,0.00,0.00,0.00,
20.100,19.1299,2017.8,43.9,1078.4,1001.8,1.0115,1.0000,1.0000,1.0000,40.08,39.63,164.25,36.00,35.25,79.30,1.0157,11.8,15.00,0.00,0.00,0.00,0.00,0.00,
20.200,19.1299,2028.8,43.9,1078.4,1001.8,1.0088,1.0000,1.0000,1.0000,40.45,39.59,164.27,36.00,35.25,80.80,1.0145,11.8,15.00,0.00,0.00,0.00,0.00,0.00,
20.300,19.1299,2023.8,44.0,1078.4,1001.7,1.0063,1.0000,1.0000,1.0000,40.36,39.66,164.11,36.00,35.25,80.00,1.0150,11.4,15.00,0.00,0.00,0.00,0.00,0.00,
21.000,19.1299,2058.0,44.7,1072.0,1001.7,1.0020,1.0000,1.0000,1.0000,39.35,39.33,163.92,36.00,35.25,79.10,1.0035,11.4,15.00,0.00,0.00,0.00,0.00,0.00,
21.000,18.0434,2073.8,44.8,1075.2,1001.7,0.9861,1.0000,1.0000,1.0000,39.07,35.84,163.34,36.00,35.25,80.00,1.0018,11.4,15.00,0.00,0.00,0.00,0.00,0.00,
21.100,8.9118,2066.5,44.9,1075.2,1001.7,0.9861,1.0000,1.0000,1.0000,38.16,17.95,163.80,36.00,35.25,61.30,1.0012,8.2,15.00,0.00,0.00,0.00,0.00,0.00,
21.200,9.3483,2060.5,45.0,1078.4,1001.7,0.9812,1.0000,1.0000,1.0000,28.34,18.87,163.83,36.75,36.00,24.50,1.0000,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
21.900,4.9992,2031.5,44.6,1039.8,1001.7,1.0266,1.0000,1.0000,1.0000,15.45,15.21,163.78,35.25,34.50,30.00,0.9681,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
21.900,4.9992,2026.8,44.5,1039.8,1001.7,1.0266,1.0000,1.0000,1.0000,15.38,15.23,164.06,35.25,34.50,29.10,0.9714,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
22.000,4.9992,2040.5,44.5,1036.6,1001.7,1.0283,1.0000,1.0000,1.0000,15.35,15.23,164.16,19.50,18.75,29.30,0.9797,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
22.100,4.9992,2044.5,44.4,1036.6,1001.7,1.0459,1.0000,1.0000,1.0000,15.26,15.21,163.99,19.50,18.75,29.70,0.9935,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
22.200,4.9992,2030.5,44.3,1033.4,1001.6,1.0400,1.0000,1.0000,1.0000,15.52,15.16,164.16,35.25,34.50,30.30,1.0257,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
22.200,4.9992,2034.0,44.2,1030.2,1001.6,1.0359,1.0000,1.0000,1.0000,15.59,15.26,163.97,35.25,34.50,29.90,1.0323,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
22.300,4.9992,2037.8,44.1,1030.2,1001.6,1.0200,1.0000,1.0000,1.0000,15.33,15.23,163.71,35.25,34.50,29.00,1.0319,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
22.400,4.9992,2026.3,44.1,1027.0,1001.6,1.0076,1.0000,1.0000,1.0000,14.98,15.33,164.09,35.25,34.50,29.00,1.0314,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
22.500,4.9992,1996.5,44.0,1027.0,1001.6,0.9824,1.0000,1.0000,1.0000,15.05,15.40,164.09,34.50,33.75,28.40,1.0242,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
22.500,6.5221,1999.0,43.9,1027.0,1001.6,0.9824,1.0000,1.0000,1.0000,14.95,17.11,164.32,35.25,34.50,29.50,0.9955,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
22.600,6.5221,1995.5,43.9,1023.8,1001.6,0.9861,1.0000,1.0000,1.0000,15.09,17.13,164.34,34.50,33.75,33.00,0.9927,5.5,15.00,0.00,0.00,0.00,0.00,0.00,
22.700,6.9555,2001.3,43.8,1023.8,1001.6,0.9941,1.0000,1.0000,1.0000,16.24,17.44,163.83,19.50,18.75,33.20,0.9905,5.5,15.00,0.00,0.00,0.00,0.00,0.00,
22.800,6.9555,2001.5,43.7,1023.8,1001.6,1.0149,1.0000,1.0000,1.0000,16.85,17.37,164.44,35.25,34.50,34.60,0.9931,5.5,15.00,0.00,0.00,0.00,0.00,0.00,
22.800,6.9555,2005.0,43.7,1020.5,1001.6,1.0166,1.0000,1.0000,1.0000,17.34,17.25,164.37,35.25,34.50,36.00,0.9921,5.5,15.00,0.00,0.00,0.00,0.00,0.00,
22.900,6.0857,2012.5,43.6,1023.8,1001.6,1.0232,1.0000,1.0000,1.0000,17.18,16.27,164.32,35.25,34.50,34.00,1.0277,5.5,15.00,0.00,0.00,0.00,0.00,0.00,
23.000,6.0857,2006.5,43.6,1020.5,1001.6,1.0249,1.0000,1.0000,1.0000,17.04,16.31,164.32,35.25,34.50,33.00,1.0313,5.5,15.00,0.00,0.00,0.00,0.00,0.00,
23.100,6.0857,1976.0,43.5,1020.5,1001.6,1.0232,1.0000,1.0000,1.0000,17.02,16.52,163.57,34.50,33.75,32.40,1.0345,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
23.100,6.0857,1994.8,43.5,1020.5,1001.6,1.0149,1.0000,1.0000,1.0000,16.83,16.27,164.58,34.50,33.75,32.60,1.0358,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
23.200,6.0857,1993.0,43.4,1020.5,1001.6,1.0088,1.0000,1.0000,1.0000,16.76,16.41,164.18,34.50,33.75,32.60,1.0063,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
23.300,6.0857,1984.8,43.4,1020.5,1001.6,1.0051,1.0000,1.0000,1.0000,16.76,16.52,163.95,34.50,33.75,33.20,1.0062,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
23.400,5.2159,1987.5,43.4,1017.3,1001.6,0.9985,1.0000,1.0000,1.0000,16.78,15.52,163.85,34.50,33.75,30.20,1.0045,5.1,15.00,0.00,0.00,0.00,0.00,0.00,
23.400,5.2159,1985.8,43.3,1017.3,1001.6,1.0000,1.0000,1.0000,1.0000,16.64,15.49,163.99,34.50,33.75,30.30,1.0058,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
23.500,1.0865,1978.0,43.3,1017.3,1001.6,0.9985,1.0000,1.0000,1.0000,15.94,14.25,163.83,34.50,33.75,31.20,1.0052,4.7,15.00,0.00,0.00,0.00,0.00,0.00,
23.600,0.6501,1972.3,43.3,1017.3,1001.6,0.9900,1.0000,1.0000,1.0000,15.49,14.25,164.20,25.50,24.75,27.30,1.0311,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
23.600,0.0000,1957.3,43.2,1017.3,1001.6,0.9900,1.0000,1.0000,1.0000,14.74,14.25,163.22,19.50,18.75,25.40,1.0322,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
23.700,0.0000,1936.5,43.1,1017.3,1001.5,0.9873,1.0000,1.0000,1.0000,14.55,14.25,162.12,14.25,13.50,27.30,1.0290,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
23.800,0.0000,1959.8,43.1,1017.3,1001.5,0.9812,1.0000,1.0000,1.0000,14.30,14.25,163.90,-3.00,-3.75,27.90,1.0253,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
23.900,0.0000,1974.0,43.0,1014.1,1001.5,0.9761,1.0000,1.0000,1.0000,14.44,14.25,163.57,-1.50,-2.25,27.80,0.9962,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
23.900,0.0000,1955.8,42.9,1014.1,1001.5,0.9956,1.0000,1.0000,1.0000,14.25,14.25,162.70,0.00,-0.75,27.20,0.9999,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
24.000,0.0000,1954.0,42.9,1014.1,1001.5,0.9885,1.0469,1.0000,1.0000,14.02,9.00,162.84,0.00,-0.75,26.80,1.0000,3.9,15.00,0.00,0.00,0.00,0.00,0.00,
24.100,0.0000,1946.3,42.7,1017.3,1001.5,0.9956,1.0469,1.0000,1.0000,11.81,9.00,162.98,0.00,-0.75,17.20,1.0000,2.4,15.00,0.00,0.00,0.00,0.00,0.00,
24.200,0.0000,1943.0,42.6,1017.3,1001.5,1.0618,1.0469,1.0000,1.0000,10.73,9.00,162.89,0.00,-0.75,17.10,1.0000,2.0,15.00,0.00,0.00,0.00,0.00,0.00,
24.200,0.8668,1934.8,42.5,1017.3,1001.5,1.3647,1.0469,1.0000,1.0000,9.89,9.00,162.68,0.00,-0.75,16.90,1.0000,2.0,15.00,0.00,0.00,0.00,0.00,0.00,
24.300,1.3032,1932.3,42.4,1017.3,1001.5,1.8438,1.0469,1.0000,1.0000,9.56,9.00,162.33,0.00,-0.75,17.50,1.0000,2.0,15.00,0.00,0.00,0.00,0.00,0.00,
24.400,2.6064,1923.5,42.2,1014.1,1001.5,2.3770,0.8999,1.0000,1.0000,9.47,14.25,161.67,4.50,4.50,17.70,1.0000,2.0,15.00,0.00,0.00,0.00,0.00,0.00,
24.500,2.6064,1948.5,42.1,1014.1,1001.5,2.9399,0.8999,1.0000,1.0000,10.27,14.25,162.19,-3.75,-4.50,26.00,1.0000,3.9,15.00,0.00,0.00,0.00,0.00,0.00,
24.500,2.6064,1923.3,42.0,1014.1,1001.5,2.9133,0.8999,1.0000,1.0000,11.41,14.25,161.46,19.50,18.75,25.50,1.0000,3.9,15.00,0.00,0.00,0.00,0.00,0.00,
24.600,2.6064,1907.5,42.0,1014.1,1001.5,2.4297,0.8999,1.0000,1.0000,12.40,14.25,162.02,21.00,20.25,25.00,1.0000,3.9,15.00,0.00,0.00,0.00,0.00,0.00,
24.700,2.6064,1912.3,41.9,1014.1,1001.5,1.7959,0.8999,1.0000,1.0000,12.89,14.25,162.28,21.75,21.00,25.20,1.0000,3.9,15.00,0.00,0.00,0.00,0.00,0.00,
24.700,2.6064,1920.3,41.8,1014.1,1001.5,1.3506,1.0000,1.0000,1.0000,13.13,14.25,161.95,25.50,24.75,25.30,1.0000,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
24.800,2.6064,1913.8,41.7,1014.1,1001.5,1.1426,1.0000,1.0000,1.0000,13.45,14.25,161.98,26.25,25.50,26.30,1.0000,4.3,15.00,0.00,0.00,0.00,0.00,0.00,
